buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Карамель,2024,199.1,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2025,218.8,"Продукты питания, кг в месяц",G99,Прочее
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2017,700.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2018,713.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2019,698.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2020,664.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2021,678.0,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2022,692.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2023,744.1,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2024,778.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб из ржаной муки и из смеси муки ржаной и пшеничной,2025,787.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2017,572.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2018,576.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2019,573.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2020,546.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2021,558.5,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2022,570.7,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2023,616.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2024,654.1,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Хлеб и булочные изделия из пшеничной муки,2025,670.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2017,778.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2018,851.7,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2019,709.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2020,632.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2021,646.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2022,648.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2023,830.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2024,988.5,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Крупы,2025,1104.7,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2017,503.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2018,527.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2019,515.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2020,464.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2021,475.5,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2022,437.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2023,468.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2024,495.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Рис шлифованный,2025,577.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Горох и фасоль,2017,534.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2018,621.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2019,615.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2020,597.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2021,572.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2022,529.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2023,634.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2024,675.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Горох и фасоль,2025,721.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Вермишель,2017,473.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2018,505.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2019,505.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2020,473.8,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2021,467.7,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2022,447.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2023,507.2,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2024,591.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Вермишель,2025,660.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Макаронные изделия из пшеничной муки высшего сорта,2017,466.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Макаронные изделия из пшеничной муки высшего сорта,2018,496.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Макаронные изделия из пшеничной муки высшего сорта,2019,481.5,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
