feature_mode,product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_days_mean,0.6483990464252621,0.5293018752986883,1.2975731600306517e-15,1.630106518389705,0.6531113723124916,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,11.812183602304716,10.364613590864629,-2.886579864025407e-15,24.040435992613535,12.789010055931449,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_consumer_price_index_mean,-23.64795409625055,20.690546334314718,-6.217248937900877e-15,49.7035373633843,25.530291391229014,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_income_index_mean,11.185179743627904,8.93710142323124,-4.6629367034256575e-15,34.7319008468657,11.027587181187796,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_stock_days_mean_mean,0.6483990428949552,0.5293018724168239,1.3253287356462806e-15,1.6301065095143428,0.6531113687565275,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,11.812183605572354,10.364613593731821,-2.4424906541753444e-15,24.04043599926391,12.78901005946931,187.37989342591823,203.22527914920482
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,consumer_price_index,-6.593063296092183,5.768536299488752,-1.7763568394002505e-15,13.85737499923653,18.307093080853406,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,income_index,-0.5217958518464191,0.41692154771401446,2.1510571102112408e-16,1.6202655839268154,1.323147014276461,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_days_mean,-1.0328168152908588,0.843110242353638,-2.0816681711721685e-15,2.59655135551188,2.6757043525160573,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,9.9451164257585,8.726353427916226,-2.4424906541753444e-15,20.240536629136717,27.694055505110555,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_consumer_price_index_mean,-6.5930632980382935,5.7685363011914825,-1.7763568394002505e-15,13.857375003326887,18.30709308625721,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_income_index_mean,-0.5217958470499492,0.41692154388157376,2.0122792321330962e-16,1.620265569032954,1.3231470021137832,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_stock_days_mean_mean,-1.0328168418518826,0.8431102640359643,-2.095545958979983e-15,2.5965514222875767,2.675704421327337,143.83873260592185,159.68411832920845
full_exog,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,9.945116437405987,8.726353438136329,-2.220446049250313e-15,20.24053665284196,27.694055537545186,143.83873260592185,159.68411832920845
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,consumer_price_index,-9.522976062161463,8.0327339544672,-3.774758283725532e-15,22.597066161279905,21.37405296063244,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,income_index,3.056088798856121,2.4418539692522883,-1.1657341758564144e-15,9.48967969884944,6.497453588874746,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_days_mean,-1.5947254891168547,1.301808194552093,-3.2335245592207684e-15,4.009216899968461,3.4639411005847656,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,7.994129028279584,7.014457374118846,-1.887379141862766e-15,16.269840843275738,18.664552349718573,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,group_consumer_price_index_mean,-9.522976052884594,8.032733946642061,-3.3306690738754696e-15,22.597066139266822,21.374052939810767,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,group_income_index_mean,3.0560888079032607,2.4418539764810676,9.43689570931383e-16,9.48967972694236,6.497453608109581,193.92399024933212,209.76937597261872
full_exog,Свежие овощи,G04,"Овощи, фрукты и картофель",2017Q1,2024Q4,32,group_stock_days_mean_mean,-1.5947254907050399,1.301808195848562,-3.219646771412954e-15,4.009216903961235,3.4639411040345,193.92399024933212,209.76937597261872
